
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:18:33 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
16-AUG-14      30219	    150
15-AUG-14	1031	     63
19-AUG-14      30219	    147
17-AUG-14      30218	   2144
24-AUG-14      30218	   1846
27-AUG-14      30219	    154
26-AUG-14      30219	    179
01-SEP-14      30219	    106
13-AUG-14	1003	      4
15-AUG-14	1003	      8
28-AUG-14      30232	      2

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-AUG-14	3000	    105
28-AUG-14	3000	     77
28-AUG-14	1003	      4
12-AUG-14      10815	   1088
14-AUG-14      10815	   1133
16-AUG-14      30203	      2
20-AUG-14      10815	    945
24-AUG-14      10815	    847
09-SEP-14	1031	     69
16-SEP-14	1031	    107
22-SEP-14      30218	   1103

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-SEP-14      30219	    145
19-SEP-14	1031	     72
26-SEP-14      30219	    124
25-SEP-14      30203	    377
28-SEP-14	1081	     11
29-SEP-14	1031	      6
30-SEP-14      30218	    782
30-SEP-14	3000	     84
02-OCT-14	1081	     24
03-SEP-14	1031	     67
04-SEP-14	1031	     47

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
22-SEP-14	1003	      6
03-OCT-14	1019	     13
04-SEP-14	3000	     73
18-SEP-14	3000	    158
04-SEP-14      10815	    786
03-SEP-14	1003	     12
22-SEP-14      30232	      2
26-SEP-14	1003	      2
14-SEP-14	3000	     54
02-OCT-14	1030	   1321
07-OCT-14      30218	   2675

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
08-OCT-14      10040	   2733
09-OCT-14	3000	    123
09-OCT-14      30728	   1248
08-OCT-14      30218	   3931
06-OCT-14      30219	    154
06-OCT-14	1030	   2368
03-OCT-14	3000	    282
08-OCT-14      30728	   1840
08-OCT-14      10815	    969
04-OCT-14      30232	      1
19-AUG-14	1003	      6

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
13-AUG-14	1012	    154
15-AUG-14	1012	    162
28-AUG-14	1012	    141
05-SEP-14	1012	    130
06-SEP-14	1012	    264
05-OCT-14	1081	      4
04-OCT-14	1013	      1
03-OCT-14	1003	      5
13-SEP-14	1012	    149
23-SEP-14	1012	    113
28-SEP-14	1012	    109

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
29-SEP-14	1012	     97
01-OCT-14      30728	     61
07-OCT-14	1012	    159
19-SEP-14	1003	      3
04-OCT-14	1003	      2
29-SEP-14      30728	     49
14-AUG-14	1003	      2
13-AUG-14      30728	     20
08-SEP-14	1003	      3
18-SEP-14      30203	      3
22-AUG-14      30728	     32

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-SEP-14      30728	     40
25-SEP-14	1003	      3
28-SEP-14      30728	     23
26-SEP-14      30728	     32
25-SEP-14      30728	     13
21-SEP-14      30728	     14
13-AUG-14	1031	     32
26-AUG-14      30218	   2047
01-SEP-14      30218	   2582
14-AUG-14	3000	     89
17-AUG-14	3000	    160

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-SEP-14      30218	   2918
23-AUG-14      10815	   1070
27-AUG-14      10815	    952
29-AUG-14      10815	   1088
25-AUG-14	3000	     92
05-SEP-14      30218	   6139
07-SEP-14      30218	  10305
07-SEP-14      30219	    157
14-SEP-14      30218	   1347
12-SEP-14	1031	     72
17-SEP-14      30219	    194

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
16-SEP-14      30218	   2747
15-SEP-14      30219	    141
20-SEP-14      30219	    258
28-SEP-14      30218	    752
27-SEP-14      30218	   1047
01-OCT-14      30218	   1149
02-OCT-14      30219	    190
24-SEP-14	1031	     64
12-SEP-14      10040	     15
11-SEP-14      10040	      5
19-SEP-14	3000	    141

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
02-SEP-14	1003	      9
02-SEP-14      30203	     16
06-SEP-14      10815	   1230
08-SEP-14      10815	    831
21-SEP-14      10815	    637
15-SEP-14	3000	    101
30-SEP-14	1013	      1
11-SEP-14	1003	      1
10-SEP-14      30203	      2
27-SEP-14	1031	     10
03-OCT-14	1031	      3

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-OCT-14      30218	   1465
04-OCT-14      30203	   2468
04-OCT-14	1030	    954
08-OCT-14	3000	    185
05-OCT-14	1031	     12
06-OCT-14	1031	      5
09-OCT-14      10815	    355
05-OCT-14	3000	     97
23-AUG-14	1003	      1
16-AUG-14	1012	    156
30-AUG-14	1012	    164

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
04-SEP-14	1012	    145
04-SEP-14	1003	      3
04-SEP-14      30728	     50
14-SEP-14	1012	     73
17-SEP-14	1012	    167
22-SEP-14	1012	    187
24-SEP-14	1012	    122
02-OCT-14	1012	    128
06-OCT-14	1013	      2
05-OCT-14	1013	      1
09-SEP-14      30728	     38

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
09-OCT-14	1012	     59
12-AUG-14      30728	     15
18-AUG-14      30728	      8
18-SEP-14      30728	     25
11-SEP-14      30728	     22
07-OCT-14	1019	      2
27-SEP-14      30728	     27
02-OCT-14      30728	     36
14-AUG-14      30218	   3916
16-AUG-14      30218	   1614
15-AUG-14      30219	    205

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
18-AUG-14      30219	    121
19-AUG-14	1031	     51
21-AUG-14      30219	    181
23-AUG-14      30219	    214
21-AUG-14	1031	     27
22-AUG-14      30203	      2
22-AUG-14	1031	     35
25-AUG-14      30219	    117
28-AUG-14      30203	     17
29-AUG-14      30219	    155
30-AUG-14      30203	   2154

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-AUG-14	3000	    125
23-AUG-14	3000	     83
16-AUG-14	3000	    124
20-AUG-14	1003	      3
02-SEP-14      30219	    123
19-AUG-14      10815	    999
25-AUG-14      10815	    956
01-SEP-14      10815	   1031
30-AUG-14	1003	      4
