
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:18:51 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-AUG-14      30232	      2
12-AUG-14      10815	    836
15-AUG-14	1031	     52
16-AUG-14      30219	    156
17-AUG-14      30218	   1145
19-AUG-14      30219	    302
24-AUG-14      30218	   5965
03-SEP-14	1031	     68
04-SEP-14	1031	     59
09-SEP-14	1031	     63
13-AUG-14      30728	    513

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
13-AUG-14	1003	      4
22-AUG-14      30728	    553
27-AUG-14      30219	    364
26-AUG-14	3000	    252
28-AUG-14	1003	      5
01-SEP-14      30219	    106
10-SEP-14      30728	    543
19-AUG-14	1003	      7
26-AUG-14      30219	    205
14-AUG-14      10815	    751
20-AUG-14      10815	    864

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
24-AUG-14      10815	    819
04-SEP-14      10815	    801
28-AUG-14	3000	     59
04-SEP-14	3000	    128
08-SEP-14	1003	      2
14-AUG-14	1003	      4
03-SEP-14	1003	     10
16-SEP-14	1031	     93
19-SEP-14	1031	     53
22-SEP-14      30218	    940
25-SEP-14      30203	    465

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14      30219	    152
30-SEP-14      30218	    639
30-SEP-14	3000	     56
29-SEP-14      30728	    611
08-OCT-14      30218	   3756
07-OCT-14      30218	   3342
08-OCT-14      10040	   2502
09-OCT-14	3000	    127
21-SEP-14      30728	    539
19-SEP-14      30219	    151
25-SEP-14      30728	    118

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14      30728	    128
28-SEP-14      30728	    467
29-SEP-14	1031	      5
01-OCT-14      30728	    478
06-OCT-14      30219	    153
08-OCT-14      30728	   1806
09-OCT-14      30728	    985
18-SEP-14	3000	    163
08-OCT-14      10815	   1070
19-SEP-14	1003	      7
22-SEP-14	1003	      4

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-OCT-14	3000	    189
04-OCT-14	1003	      6
14-SEP-14	3000	    192
21-SEP-14      30203	      1
25-SEP-14	1003	     12
26-SEP-14	1003	      3
03-OCT-14	1003	     21
15-AUG-14	1003	      2
14-AUG-14      30203	      1
16-AUG-14      30203	      1
28-AUG-14      30232	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-AUG-14      30728	    580
26-AUG-14      30218	   8108
01-SEP-14      30218	   2048
03-SEP-14      30218	   2970
05-SEP-14      30218	   7017
07-SEP-14      30218	  11191
17-SEP-14      30219	    208
12-SEP-14	1031	     63
11-SEP-14	1003	      4
17-AUG-14	3000	    129
13-AUG-14	1031	     36

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
02-SEP-14      30203	      6
06-SEP-14      10815	   1035
08-SEP-14      10815	   1062
07-SEP-14      30219	     95
18-AUG-14      30728	    785
04-SEP-14      30728	    408
09-SEP-14      30728	    569
11-SEP-14      30728	    376
02-SEP-14	1003	      5
23-AUG-14      10815	    891
23-AUG-14	1003	      2

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
27-AUG-14      10815	    878
29-AUG-14      10815	    862
14-AUG-14	3000	     80
25-AUG-14	3000	     62
15-SEP-14      30219	    192
14-SEP-14      30218	   1138
16-SEP-14      30218	   1082
24-SEP-14	1031	     55
27-SEP-14      30218	   1362
28-SEP-14      30218	   1139
01-OCT-14      30218	   1055

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-OCT-14      30218	   1294
04-OCT-14      30203	   2495
05-OCT-14	3000	     73
06-OCT-14	1031	      4
18-SEP-14      30728	    564
20-SEP-14      30219	    193
19-SEP-14	3000	     86
27-SEP-14      30728	    200
27-SEP-14	1031	      3
02-OCT-14      30219	    140
02-OCT-14      30728	    431

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-SEP-14      10815	   1030
09-OCT-14      10815	    321
05-OCT-14	1031	     11
15-SEP-14	3000	    123
03-OCT-14	1031	      7
08-OCT-14	3000	    140
04-SEP-14	1003	      3
14-AUG-14      30218	   1162
16-AUG-14      30218	   1053
19-AUG-14	1031	     38
21-AUG-14	1031	     40

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
22-AUG-14	1031	     36
23-AUG-14	3000	    230
23-AUG-14      30219	    261
30-AUG-14      30203	   1910
08-SEP-14	1031	     62
18-AUG-14      30219	    305
25-AUG-14      30219	    245
29-AUG-14      30219	    179
29-AUG-14	1003	      6
15-AUG-14      30219	    325
21-AUG-14      30219	    320

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-AUG-14	3000	    182
24-AUG-14      30728	    676
24-AUG-14	1003	      2
25-AUG-14      30728	    685
27-AUG-14      30728	    694
28-AUG-14      30728	    584
02-SEP-14      30219	    138
12-SEP-14      30728	    329
15-SEP-14      10815	    955
20-AUG-14      30203	      4
11-SEP-14      10815	   1163

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-AUG-14      10815	    782
25-AUG-14      10815	    895
30-AUG-14	1003	      5
01-SEP-14      10815	    875
10-SEP-14	1003	      9
16-AUG-14	3000	     62
30-AUG-14	3000	    260
