20181227	10.111.59.2	N	55747	1440813259992
20181228	10.111.59.2	N	54290	1508842586497
20181229	10.111.59.2	N	48345	1568890030847
20181230	10.111.59.2	N	45982	1636152514436
20181231	10.111.59.2	N	52125	1470843073265
20190101	10.111.59.2	N	49243	1318647089098
20190102	10.111.59.2	N	50645	1451442103117
20190103	10.111.59.2	N	52690	1448993269287
20190104	10.111.59.2	N	56303	1555202026517
20190105	10.111.59.2	N	55151	1648237885111
20190106	10.111.59.2	N	50390	1584298858801
20190107	10.111.59.2	N	57383	1410845557887
20190108	10.111.59.2	N	61670	1479385250850
20190109	10.111.59.2	N	55020	1565632243393
20190110	10.111.59.2	N	53752	1486134236394
20190111	10.111.59.2	N	55360	1607765698338
20190112	10.111.59.2	N	45506	1634731970313
20190113	10.111.59.2	N	43430	1531990462389
20190114	10.111.59.2	N	50092	1456717733394
20190115	10.111.59.2	N	51245	1191347908550
20190116	10.111.59.2	N	58149	1465132259942
20190117	10.111.59.2	N	57098	1539162226573
20190118	10.111.59.2	N	58035	1568868537990
20190119	10.111.59.2	N	46802	1682881187978
20190120	10.111.59.2	N	40317	1346898424280
20181221	10.112.61.238	N	85111	2365253910531
20181222	10.112.61.238	N	120220	4114148391970
20181223	10.112.61.238	N	113437	4257379208787
20181224	10.112.61.238	N	114200	4165111156077
20181225	10.112.61.238	N	113252	4049191599323
20181226	10.112.61.238	N	121759	3978783866606
20181227	10.112.61.238	N	129003	3899775544682
20181228	10.112.61.238	N	118977	4080212631631
20181229	10.112.61.238	N	104083	4027327038116
20181230	10.112.61.238	N	104105	4113124788622
20181231	10.112.61.238	N	113021	4124950169600
20190101	10.112.61.238	N	97101	3761452292679
20190102	10.112.61.238	N	116015	3710838496966
20190103	10.112.61.238	N	127012	3659210265245
20190104	10.112.61.238	N	134290	4005607809033
20190105	10.112.61.238	N	124007	4209714319987
20190106	10.112.61.238	N	110885	4192898247417
20190107	10.112.61.238	N	133875	3505151454529
20190108	10.112.61.238	N	145740	3802619603228
20190109	10.112.61.238	N	128426	4057079020396
20190110	10.112.61.238	N	127647	3965451385522
20190111	10.112.61.238	N	131210	4256987503022
20190112	10.112.61.238	N	105613	4515483525192
20190113	10.112.61.238	N	100442	4154547568824
20190114	10.112.61.238	N	124161	4071191264013
